Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp
37725,73,Partly Cloudy,67,78,68,66
37726,68,Mostly Cloudy,63,73,65,62
37727,72,Partly Cloudy,69,77,68,65
37729,69,Mostly Cloudy,66,74,64,62
37730,71,Mostly Cloudy,66,74,65,63
37731,69,Partly Cloudy,63,74,65,64
37732,70,Partly Cloudy,65,74,65,63
37733,70,Partly Cloudy,-99,73,65,63
37737,71,Mostly Cloudy,67,76,68,67
37738,71,Mostly Cloudy,67,76,68,66
37742,71,Mostly Cloudy,67,76,68,66
37743,69,Sunny,64,76,67,65
37744,69,Sunny,64,76,67,65
37745,69,Sunny,64,76,67,65
37748,69,Cloudy,67,76,66,65
37752,71,Mostly Cloudy,65,75,65,63
37753,73,Partly Cloudy,66,76,69,66
37754,71,Mostly Cloudy,67,77,68,66
37755,71,Partly Cloudy,65,74,65,62
37756,70,Partly Cloudy,66,74,64,62
37757,69,Mostly Cloudy,64,75,66,64
37760,73,Partly Cloudy,67,78,67,66
37762,72,Partly Cloudy,67,76,66,64
37763,69,Mostly Cloudy,67,76,67,66
37764,72,Partly Cloudy,67,78,68,66
37765,72,Partly Cloudy,66,76,67,65
37766,69,Mostly Cloudy,65,75,66,64
37769,70,Mostly Cloudy,65,76,66,64
37770,69,Mostly Cloudy,65,73,65,64
37771,70,Rain Shower,67,77,68,66
37772,70,Cloudy,67,76,68,66
37773,73,Partly Cloudy,67,77,68,65
37774,70,Rain Shower,67,76,67,66
37777,72,Mostly Cloudy,69,77,69,67
37778,72,Partly Cloudy,66,77,68,66
37779,73,Mostly Cloudy,68,77,67,66
37801,72,Mostly Cloudy,68,76,68,66
37802,71,Showers in the Vicinity,69,76,69,67
37803,72,Mostly Cloudy,68,75,68,67
37804,71,Mostly Cloudy,68,75,69,67
37806,73,Partly Cloudy,68,77,67,66
37807,71,Mostly Cloudy,67,76,65,65
37809,72,Partly Cloudy,67,78,68,66
37810,72,Partly Cloudy,67,78,68,66
37811,72,Partly Cloudy,66,77,68,66
37813,71,Partly Cloudy,66,76,67,65
37814,72,Partly Cloudy,67,77,68,66
37815,72,Partly Cloudy,67,77,68,66
37816,72,Partly Cloudy,67,77,68,66
37818,70,Partly Cloudy,65,77,68,66
37819,68,Partly Cloudy,62,72,65,64
37820,72,Mostly Cloudy,67,78,67,66
37821,74,Partly Cloudy,69,79,68,66
37822,74,Partly Cloudy,69,79,68,66
37824,72,Mostly Cloudy,65,75,65,63
37825,72,Mostly Cloudy,65,75,65,63
37826,70,Mostly Cloudy,66,75,67,66
37828,69,Mostly Cloudy,65,76,66,65
37829,69,Cloudy,66,75,67,66
37830,70,Cloudy,65,76,68,66
